Nazwa;b;c;d;e
1;0.232107069;0.232107069;0;17
2;0.254058235;0.50811647;-0.254058235;16
3;0.293196693;0.879590078;-0.586393385;15
4;0.956957227;3.827828909;-2.870871682;14
5;0.367814744;1.839073722;-1.471258977;13
6;0.705100314;4.230601886;-3.525501572;12
7;0.533307194;3.73315036;-3.199843166;11
8;0.081786361;0.654290891;-0.572504529;10
9;0.599926213;5.399335915;-4.799409702;9
10;0.688630156;6.88630156;-6.197671404;8
11;0.026066272;0.286728988;-0.260662717;7
12;0.704664682;8.455976181;-7.751311499;6
13;0.898816126;11.68460963;-10.78579351;5
14;0.902642403;12.63699365;-11.73435124;4
15;0.082842984;1.242644764;-1.159801783;5
16;0.154061109;2.464977745;-2.310916636;2
